Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Activewear clothing features (product.metafields.shopify.activewear-clothing-features),Activity (product.metafields.shopify.activity),Age group (product.metafields.shopify.age-group),Bag/Case features (product.metafields.shopify.bag-case-features),Bag/Case material (product.metafields.shopify.bag-case-material),Bag/Case storage features (product.metafields.shopify.bag-case-storage-features),Care instructions (product.metafields.shopify.care-instructions),Carry options (product.metafields.shopify.carry-options),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Headwear features (product.metafields.shopify.headwear-features),Neckline (product.metafields.shopify.neckline),Outerwear clothing features (product.metafields.shopify.outerwear-clothing-features),Pants length type (product.metafields.shopify.pants-length-type),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Waist rise (product.metafields.shopify.waist-rise),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cvms-girls-basketball-shooting-shirt,CVMS Girls Basketball Shooting Shirt,"<h2 style=""text-align: center;"" class=""serif mar-b-20"">**Please include the name &amp; number you would like printed on the back of your shirt in the order notes.**</h2>
<h4 class=""serif mar-b-20"">Sport-Tek<sup>®</sup><span> </span>Long Sleeve PosiCharge<sup>®</sup><span> </span>Competitor™ Tee -ST350LS</h4>
<p>Lightweight, roomy and highly breathable, these moisture-wicking, value-priced tees feature PosiCharge technology to lock in color and prevent logos from fading.</p>
<ul>
<li>3.8-ounce, 100% polyester interlock with PosiCharge technology</li>
<li>Removable tag for comfort and relabeling</li>
<li>Set-in sleeves</li>
</ul>","White Space Design, LLC",Apparel & Accessories > Clothing > Activewear > Activewear Tops > T-Shirts,"","",false,Size,Youth S,,,,,,,,ST350LS-1,0.0,,0,deny,manual,24.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/6282/1695/files/A4N3165_Scarlet_Flat_Front2_16a4e642-08ae-48c3-87d1-a5a0dd28b1e4.jpg?v=1763671713,1,"",false,,,breathable-design; moisture-wicking; quick-drying,basketball,,,,,,,,red; white; blue,polyester,,,,,s,long,female,,,,lb,,,archived
cvms-girls-basketball-shooting-shirt,,,,,,,,,Youth M,,,,,,,,ST350LS-2,0.0,,-1,deny,manual,24.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/6282/1695/files/A4N3165_CougarBball_ShootingShirt_bACK2.jpg?v=1763671713,2,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,Youth L,,,,,,,,ST350LS-3,0.0,,-3,deny,manual,24.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/6282/1695/files/ST350LS_Sport_Tech_Long_Sleeve_Polyester_Tee_full.jpg?v=1763671713,3,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,Youth XL,,,,,,,,ST350LS-4,0.0,,-1,deny,manual,24.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0587/6282/1695/files/YST360LS_Sport_Tek_Youth_Long_Sleeve_Posicharge_Competitor_Tee.jpg?v=1763671713,4,"",,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,XS,,,,,,,,ST350LS-5,0.0,,-7,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,S,,,,,,,,ST350LS-6,0.0,,-4,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,M,,,,,,,,ST350LS-7,0.0,,-1,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,L,,,,,,,,ST350LS-8,0.0,,-2,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,XL,,,,,,,,ST350LS-9,0.0,,0,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,2XL,,,,,,,,ST350LS-10,0.0,,0,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,3XL,,,,,,,,ST350LS-11,0.0,,0,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
cvms-girls-basketball-shooting-shirt,,,,,,,,,4XL,,,,,,,,ST350LS-12,0.0,,0,deny,manual,24.00,,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,
